glasswareId,glasswareName
0,
1,Shorty Beer
2,Mug
3,Coupe
4,Beer Glass
5,Punch Bowl
6,Pilsner Glass
7,Tumbler
8,Copper mug
9,Large Balloon Glass
10,Old Fashioned Glass
11,Royal Coupette
12,Smoked Glass
13,Cocktail Glass
14,Snifter
15,Double Rocks Glass
16,Julep Cup
17,Large Antique Vintage Shaker
18,Tiki glass
19,Lowball Glass
20,Hurricane Glass
21,Coffee Mug
22,Small tumbler
23,Irish Coffee glass
24,Punch Glass
25,Canadian Glencairn Glass
26,Brandy Snifter
27,Tiki Cat Glass
28,Footed Rocks Glass
29,Double Old Fashioned Glass
30,Etched Rocks Glass
31,Tall Glass
32,Shot Glass
33,Pint Glass
34,Fizz Glass
35,Nick & Nora
36,Highball Glass
37,Port Glass
38,Demitasse Glass
39,Chilled Glass
40,Rocks Glass
41,Crystal Rocks
42,Irish Coffee Mug
43,Collins
44,Margarita Glass
45,Glass Mug
46,Goblet
47,Stemmed Cordial Glass
48,Bamboo Highball Glass
49,V-Shaped Rocks Glass
50,Pitcher
51,Tin Cup
52,Lager
53,Bucket
54,Stemless Wine Glass
55,Flip Glass
56,Martini
57,Vintage Glass
58,Tiki Glass
59,Espresso Cup
60,Champagne Flute
61,8 oz Glass
62,Egg Coupe
63,Copper Mug
64,Handled Glass
65,Wine Glass
66,Copita Glass
